TEAM NAMES,Series Number,Filename,Name,Description,Gender,attributes,UUID,Hash
TEAM BEVEL,13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him still.,Male,hair: bald; eyes: blue; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: none; weakness: none;,dfbb4163-df24-4d54-b74c-6218a68df8bd,740258f42b61979526df426a549e406b089255262873dd6b432b01fdc2acc7eb
TEAM BEVEL,14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,Male,hair: bald; eyes: ash; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: creativity; weakness: none;,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,61290eb0b82c41aa35c7914301f7ea14440fa123a140d5d8ee56dc04daaca776
TEAM BEVEL,15,nina-paper-chaser,nina paper chaser,Nina loves money. It's all she dreams of. ,Female,hair: brown double bun; eyes: none; teeth: none; clothing: animal print; accessories: glasses; expression: none; strength: hustler; weakness: none;,59524227-dc52-407c-8cca-e9e8c5fb3018,9dbd29dc3344ef06f97e7927074d814a9dd884769c5ed95ea2f84951467ca551
TEAM BEVEL,16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,Male,hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none strength: none; weakness: none;,808f7007-6552-4efa-bd13-4b7c337b102b,b7af1005ba2ebff061c81445253b98714f553bf559c2b1c2d2ad2e06f59638f9
TEAM BEVEL,17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,Male,hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none;,ba3edda7-8940-4ca4-97ba-826398d5909f,4b7aca9e4a8e7320904d0cacfaec31262030ebd0e55e337b8c7efe39a592ee98
TEAM BEVEL,18,tiwa-london,tiwa london,If she says she's in London and you see her; you're in London too.,Female,hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;,78da7aeb-8352-4e25-89ac-dc48b5984089,4e3c10b076a7ef647c30b24811b6a41820f6461132708ac4e8efbe1ccd17057f
TEAM BEVEL,19,tunde-yoruba-demon,tunde yoruba demon,Tunde derives joy in breaking hearts. It's a lifestyle.,Male,hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity;,53b46bd7-a537-402b-b249-0b4074a8faae,24a9137f50d6dfd3c2d2b92b83bf50c92ad3721acf6dc9bcaa77c9dc02f0e4a3
TEAM BEVEL,20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,Male,hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things;,4adb6781-1614-424e-8f77-fe59ffca2209,e857258b5b118d249f7b6850df39712e991ab6db4d5b87087b51a23eadf0e70e
TEAM CLUTCH,21,abdul-the-vibe,abdul the vibe,Abdul the life of the party and can never be caught un-fresh.,Male,hair: none; eyes: black; teeth: none; clothings: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation;,770f817a-9d9a-4772-9a91-e66dd9d03470,1b6fb0371f352e11667192e76eae70736a035ba5713cb5822a4f79b21d966af4
TEAM CLUTCH,22,emeka-the -clown,emeka the clown,Emeka the funny man; always making silly joke.,Male,hair: none; eyes: black; teeth: none; clothings: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique;,78810fa6-a7ef-4d83-bf57-caf49db4ee69,36260059ab8a22fcbb25ddb48860f384d4dd088944b8e4aa705af038a3106c46
TEAM CLUTCH,23,salam-the-odogwu,salam the odogwu,Salam is a big time textile marketer always sourcing for quality materials.,Male,hair: none; eyes: brown; teeth: none; clothings: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience ;,f2957ded-022c-4b07-92c6-b345d4816a67,47b0750afb92f72b3e604499ce2f1c2da4a2bf4da4d4b58b7b6ee6078ccfcea2
TEAM CLUTCH,24,charles-the-exporter,charles the exporter,Charles a business man an importer and exporter never to be caught idle.,Male,hair: none; eyes: grey; teeth: none; clothings: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant;,09395e76-19ed-4852-8748-795ee7496a8e,276605eb6081dfffaa3fee93323f10d668ecf23df1eeea53f5d542f05e5422df
TEAM CLUTCH,25,wole-the-pimp,wole the pimp,Wole knows people and his way around his city.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothings :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous;,4d94d4f7-9b69-4e43-9db1-1fe83df92857,d409a8c2b0e762fefdf1075ba71a82b88ae102e6f944ae5558b5df291bc9e6cb
TEAM CLUTCH,26,saro-the-baller,saro the baller,Saro is a baller and he is always ready to turn-up,Male,hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothings: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable;,d35a7514-8996-42fb-a5f2-5a603ec679c5,b509f852e3215b3fb8de5ca428dd234efc770bf214d50fbfb50a08155f1052e0
TEAM CLUTCH,27,ade-omo-yoruba,ade omo yoruba,Ade is an influential man and he is revered in his town.,Male,hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothings: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination;,92984fa0-310b-4377-8a10-15965d044383,3a9047ba0724f55e50edfb0ae98e86fbbaa171979dc0f891ed9d5ec734f66d1c
TEAM CLUTCH,28,shola-cool-kid,shola cool kid,Shola prefers to be alone because he hates stress.,Male,hair: none; eyes: none; teeth: none clothings: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful,3ac5c186-bc14-4eb6-8567-cc818465a64f,0e1a4cb6e8d4bad3e31535d30299574bee007afa73f1ffac21f68111decf4043
TEAM CLUTCH,29,charlie-the-smoker,charlie the smoker,Charlie uses smoking as a coping mechanism.,Male,hair: none; eyes: black; teeth: none; clothings: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible;,71a0aa22-d111-43b7-8484-43d87310bc42,30c18e0a4260cae1c7dab40dc788013100bf690bd214fe1824d06c5196323dd1
TEAM CLUTCH,30,femi-the-badguy,femi the badguy,Femi is one of the fliest guys in Lagos.,Male,hair: orange; eyes: black; teeth: none; clothings: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance;,e493e3fb-a8a0-455a-854f-0f6474bbc69f,ec46dc7716c56c08bc42d42b088dfcabbc8f4c5aa90131604c1c79283d317952
TEAM CLUTCH,31,sinzu-money,sinzu money,Sinzu loves spending money on flashy things.,Male,hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothings: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive ;,942f8347-9932-4331-bd15-d0f3a048b54f,d78dd36c5560bcfbf9cfd0444a8850848f391345474bb669db9122c01f30e810
TEAM CLUTCH,32,obinna-the-palmwine tapper,obinna the palmwine tapper,Obinna taps palmwine for a living.,Male,hair: none; eyes: black; teeth: none; clothings: yellow; black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive;,0f1af056-2548-4407-bed4-abc11deae05d,9448320ee57fb1fea4fabe706b70d64efa28de5957290b60b2153c92df19160e
TEAM CLUTCH,33,aminu-maikudi,aminu maikudi,Aminu is a wealthy man from a family with generational wealth. ,Male,hair: none; eyes: black; teeth: none; clothings: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness;,0129e7a5-e3d0-4675-92d0-1a1e55d11612,95f4ec9185da366a89d94ef630ac23a6c3dd5d09af452b3f808de3c6236ea375
TEAM CLUTCH,34,sabinus-the-town crier,sabinus the town crier,Sabinus delivers messages to his town people.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothings: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience;,01d4ce96-818e-44b1-8813-68a7d34b35ba,85714906560361dd917321793a2b9e56730b8b2a19c486b31a8e346edd556948
TEAM CLUTCH,35,adisa-ibadan,adisa ibadan,Adisa is an elegant man and he is adored by his people.,Male,hair: none; eyes: black; teeth: none; clothings: kente accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy;,3a925f27-35f6-4dbf-9960-c6527fae5f3e,a8019a3a929fab2ff188509751c6d8b8383676044d35b03985ee64181c0a8e57
TEAM CLUTCH,36,linda-the-navigator,linda the navigator,Linda knows how to make a way for herself and the people around her.,Female,hair: blonde; eyes: none; teeth: none; clothings:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure;,71f335a6-5a4f-4410-9cea-179336f0e498,65ce2a2a59f7b117dc91ed94fb96388fd6c760297e4779c7c2bd42b292f1cef7
TEAM CLUTCH,37,kemi-the-iron lady,kemi the iron lady,Kemi the strongest woman known to the town of Igbede people.,Female,hair: ginger; eyes: none; teeth: none; clothings: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist ;,35b11a31-5b92-49f4-8fb1-30f255d22054,686ca3b3e43065362da03a8725f46695af5bad32bb294a5eb7da367c25d12f5d
TEAM CLUTCH,38,mercy-the-sassy lady,mercy the sassy lady,Mercy is a confident woman and never hesistate to show it.,Female,hair: brown; eyes: none; teeth:none; clothings: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive;,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,6611700de36e6f44671484ecebd36d22ce6a8fb7958f82a58170252127ba868b
TEAM CLUTCH,39,sandra-money,sandra money,Sandra likes getting and spending money.,Female,hair: brown; eyes: none; teeth:none; clothings:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker;,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,3dd27436f0c63a4abd5c9bf5b507aea936ffac2cb9c282711425a4262e3ff29d
TEAM CLUTCH,40,bimpe-the-fashionista,bimpe the fashionista,Bimpe loves wearing trendy clothes and looking gorgeous.,Female,hair: blonde; eyes: none; teeth:gap teeth; clothings: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination,92b548b7-998b-46b6-8198-80d407209483,e6f7323b3c9acd26e2ac5c698f5faba0bc3657e89079a67fde1f290777b52ff1
TEAM ENGINE,41,kim-rich-aunty,kim rich aunty,She loves spoiling her nieces and nephew.,Female,hair: pink; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food;,3344a73c-f15e-4afd-a1b2-3199e27eb08f,444b5012208957cfbb42c5ad4e451963ac9cbb5d08e3cc08f437ada5722f6f37
TEAM ENGINE,42,barbra-stark,barbra stark,She loves fine dining and spends time with family.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food;,4f31fd99-4918-42a9-a112-fa60ef36d5c6,f057d6a9659a8984061866930556c1fe243def37b92603ac86b7a79d692f2fe9
TEAM ENGINE,43,jean-art-dolger,jean art dolger,Loves collecting art for charity.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: creative; weakness: food;,5e1105d9-e485-462d-a5bf-1eb931976b13,69ba374caf44e8146efee7250373aae5a15c2da94e1a76520aca5c2eb2ccd2ef
TEAM ENGINE,44,flora-burger- eater,flora burger eater,She loves eating burgers.,Female,hair: blue; eyes: brown; teeth: gap; clothing: stripes; accessories: none; expression: frowning; strength: prayerful; weakness: food;,054dffd1-cdff-417b-b6c2-a679dabd087b,28474e3e772f642345021f464646008e7818f699812b6044d765beac5c1615a6
TEAM ENGINE,45,jessie-lord-rings,jessie lord rings,She loves her  (precious) jewelry.,Female,hair: blue; eyes: brown; teeth: none; clothing: satin; accessories: none; expression: smiling; strength: kind; weakness: shy;,caacabe1-0abc-43af-92e2-2231248bff93,d4166b47394d4ae4b2477363ba2f65db5f4449da126db5fdc24c2a66ae76ae56
TEAM ENGINE,46,pinky-monky-ponk,pinky monky ponk,She love to dance the honky tonk.,Female,hair: maroon; eyes: blue; teeth: none; clothing: linen; accessories: none; expression: smiling; strength: brave; weakness: chips;,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,a9552b82c12db20af64e1457fd04dd87e6af9e8c97c3866b65ddb05e1c13e0ec
TEAM ENGINE,47,wanjiru-hippie-glitter,wanjiru hippie glitter,A hippie that loves her glitters.,Female,hair: blue; eyes: brown; teeth: none; clothing: wool; accessories: none; expression: smiling; strength: none; weakness: babies;,683f0d27-3cb4-4948-b1b5-09f10bee575a,8afde754828d6129598837a3a57200b9d7c5861c325805c288d76539e5834bc7
TEAM ENGINE,48,njoki-binary-coder,njoki binary coder,She codes with the best language and tops the set.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: none; weakness: none;,9b59bdb4-0c6c-4107-9d72-6d38d308edb4,41b32ff34686325cb1b9a2b269475409a86575b545391649a6ea63ecb8f9d4f0
TEAM ENGINE,49,wangu-calaba-hustler,wangu calaba hustler,She is a passionate hustler you should be careful with her.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: flying; ,67f7da93-3925-4def-b660-58f558c14a19,b82ff0d289e94b985f168d4685e568bee6be0282a9f051b4bd2e8e161c8e6adb
TEAM ENGINE,50,lulu-dey-kpako,lulu dey kpako,She's is as enthusiastic as she is beautiful.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: loving; weakness: makeup;,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,3a59ce6e0817e43d5dce8693df2b1cb7f2e97c5cb184c780bf50307af72b911a
TEAM ENGINE,51,kiki-cala-flier,kiki cala flier,She flies first class and gets the best deals.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: kittens;,d24aefff-c9fc-4ea9-a7cf-1b741076c822,0dfa9ee079e120e4e6a635b812a63a47847b595810dfc6300497d61b12187b09
TEAM ENGINE,52,purity-nft -investor,purity nft investor,She is an angel investor looking for the next big thing.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: clothes;,ee86ef77-4793-411a-88d3-ea54d84f6b24,2d275b1f0e553f0ba28215d90b3782ca4758f3553868df07b5c1cdebc2675ddc
TEAM ENGINE,53,june-binary-monk,june binary monk,She has a twin from Tibet and they always play together .,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: money;,102c4cdb-f812-44fd-bf47-5065284c6075,3fcb41edf97c92a8afef45e9554bbdcb4344982df96c32465e3f5cc5b8b24d19
TEAM ENGINE,54,aisha-flying-damsel,aisha flying damsel,She is always a damsel in distress and loves to fly.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: food;,c4071af3-b49e-4ad6-898b-7828f90465fb,96ca5a3bc1d0349763a95c779ef58d53e3b63d5f6c577f946ecd3d64a40e34b4
TEAM ENGINE,55,bobo-crypto-lovely,bobo crypto lovely,She is a crypto guru you can trust all through.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: water;,427ea0f5-30a3-4d70-a5bd-a6106409b83c,5c8a3646aa3c9f9845e5b72f7caad9c5e5cd8d93c6fc77320e7b8bf9bee37ba4
TEAM ENGINE,56,nell-light -embrace,nell light embrace,She is an empathy ready with a kind word or hug.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: love;,9dfe30b4-c71a-471c-8091-f5c4a238eed8,68745d63990900a2058069a81d1ffa70780807cb44083f966a641439002feaae
TEAM ENGINE,57,rachel-mood-silent,rachel mood silent,Introvert  to the core a mysterious lady.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: walls;,11450acd-f0d7-406f-bc18-bdb680404845,d869140093f57e5803b40609f242083fe6c4d5e19a96dcc9538d24f9f0e2f3a6
TEAM ENGINE,58,nana-reflector-agent,nana reflector agent,She loves her chrome fashion style.,Female,hair: pink; eyes: blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength: brave; weakness: shy;,63bda633-bfca-4b28-823f-7772936b4103,5d1b4ff5a9d1940801262567b82bafa3c897b9f764c48671373830415f1e8da2
TEAM ENGINE,59,bree-busy-gossip,bree busy gossip,Never whisper your secrets to her except you want the world to know.,Female,hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height;,4f5898d9-fc99-4053-a56c-b2ec1ef41347,785f4ee7f2402422cde3bb2eebb054a5e6f60272aadf658c24f0e62ca0c7e92c
TEAM ENGINE,60,jude-shadow-fighter,jude shadow fighter,A ninja warrior; the last samurai standing.,Female,hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water;,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,999906e5c0753a3fb1f8a9566e9ac15c718eaed0c776d81daad2e86b5623646e
TEAM GRIT,61,toy-soldier,toy soldier,A man stronger than an army.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: happy; strengths: powerful; weakness: sentimental;,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,467b12143d2ee1762e3c44b4497667ef1c468d905196b62c72f40f09f346412f
TEAM GRIT,62,pipey-rivers,pipey rivers,A man who loves the water so much and fixes it's path.,Male,hair:bald; eyes: opened; teeth:none; clothing: overall; accessories: nose mask; strengths: calculative; weakness: public speaking;,58f69cae-59d1-11ed-9b6a-0242ac120002,b4c7b60fe24595c0bbcb2ad927efd4901e082f2c773276c37876820f80a8ba89
TEAM GRIT,63,phiri-of-zambia,phiri of zambia,An african woman with strength and beauty.,Female,hair: purple buns; eyes:nose; teeth: none; clothing: adire; accessories: sunglasses; expression: jiggy; strengths: free spirit; weakness: blind ;,24b537fa-59d3-11ed-9b6a-0242ac120002,a7cf266dc349ecc4e8112e53015604b5c2f95aa0bac7910e335d3b9d0755d3db
TEAM GRIT,64,patrick-of-bikinibottom,patrick of bikinibottom,A white man who loves the african culture and associates with their dressing.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: confused; strengths: adaptation; weakness: fluency;,064c7b84-59d3-11ed-9b6a-0242ac120002,fe67fb68c2656917fb2446eb787363f334900c5fd2420f1fca56697f0db4035e
TEAM GRIT,65,nobuhle-of-zulu,nobuhle of zulu,A woman; well endowed with beauty.,Female,hair: brown bun; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses; expression: astonished; strengths: cool headed; weakness: pressure;,1ee5b1ce-59d3-11ed-9b6a-0242ac120002,e1b5709fc3342d7373eafdf3f2b5172e1ffe7e738942c241003559fcd1cde595
TEAM GRIT,66,nkosazana-of-xhosa,nkosazana of xhosa,An african princess; always proud of her culture.,Female,hair: ginger afro; eyes:none; teeth: gap teeth; clothing:umbaco; accessories: sunglasses; expression: fufilled; strengths: confidence; weakness: endurance;,2f1a1724-59d3-11ed-9b6a-0242ac120002,2bd455b709864abdf101dc8f8ec55948c2c8072d16ea7bbaccf22f837e51c24a
TEAM GRIT,67,mandla-of-zulu,mandla of zulu,A simple and introverted guy who keeps to himself.,Male,hair: bald; eyes: opened; teeth: none; clothing: eshowe; accessories: nose mask; expression: irritated; strength: strong willed; weakness: relationship;,d04553b2-59d7-11ed-9b6a-0242ac120002,0f35403d556e39237a7fc43046d804412deb3859f8e77394de725b68ae74b2ab
TEAM GRIT,68,john-doe,john doe,A principled guy who is conscious of his health and ensures protection from infection.,Male,hair: bald; eyes: opened; teeth: none; clothing: ankara; accessories: nose mask; expressions: cold; strength: cleaniness; weakness: perfectionist;,5d19795e-59d2-11ed-9b6a-0242ac120002,014d65ab6da13fe635616b7011fd8234b114a0b35cd78743ba560b42ba031eed
TEAM GRIT,69,ghost-of-power,ghost of power,A woman; stronger than ten men combined.,Female,hair: black tied with scalf; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses and pipe; espression: ruthless; strength: badass; weakness: cancer;,29c764ca-59d3-11ed-9b6a-0242ac120002,cef3dda05678231019b99be2873eba9b8fd90537d67935c52c0436a430543adf
TEAM GRIT,70,freida,freida,A man who is always peaceful.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: calm; strength: peaceful; weakness: anger;,ee671c4a-59d2-11ed-9b6a-0242ac120002,25e8a974fee9b09b452c0883508f92a4563228b29234959487c464dbc052bc24
TEAM GRIT,71,flamboyant-tree,flamboyant tree,A beautiful african woman; billionaire in the making.,Female,hair: one bun dark brown; eyes: none; teeth: none; clothing: kente; accessories: sunglasses; expression: happy; strength: beauty; weakness: lover girl;,380e4990-59d3-11ed-9b6a-0242ac120002,60cc06c02269e9842977facbe303d995caadd98b355777d68a039691fcfd5d76
TEAM GRIT,72,david-of-accra,david of accra,A combatant who fights and defends his people,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: angry; strength: super powerful; weakness: sleeping;,1c1ef1b4-59d1-11ed-9b6a-0242ac120002,cffca22a99588828f96fe5b9451dd2bd7d2e35a82e09d15eaa19864c4ec51cf5
TEAM GRIT,73,cally-lily,cally lily,A man who is a breathe of fresh air.,Male,hair: male; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: confused; strength: calm; weakness: sun;,82bba87c-59d1-11ed-9b6a-0242ac120002,da5b7fa17f22d35c5de2c74a564f36ea02264eb9f55287950b9018ec073ca186
TEAM GRIT,74,bubune-of-accra,bubune of accra,A man with honor; always conscious of his health.,Male,hair: bald; eyes: closed; teeth: none; clothing: kente; accessories: nose mask; expression: happy;  strength: clean; weakness: foodie;,faa4b530-59d2-11ed-9b6a-0242ac120002,a652a74da52335707cd90e778f7ae179f12efeb3eaa01ebc6ec8957fbc5d413c
TEAM GRIT,75,bediako-of-accra,bediako of accra,A strong man; always ready to fight for what is right.,Male,hair: bald; eyes: opened; teeth: none; clothing: balck with kente; accessories: nose mask; expression: suspicious;  strength: activist; weakness: irrational;,fb6e8222-59d0-11ed-9b6a-0242ac120002,89438ab1b0dd05c0f0981c0ea6c232a555e7dec12a93172bea597775fdb87432
TEAM GRIT,76,avatar-aang,avatar aang,A man who is ready to save the world.,Male,hair: bald; eyes: opened; teeth: none; clothing: kaftan; accessories: nose mask; expression: soothing; strength: mind games; weakness: insomia;,169f93a0-59d2-11ed-9b6a-0242ac120002,d117231f713f9cd56ae6fc4641a1b065be6eb40139660d525f5ddab9c9024826
TEAM GRIT,77,argus-greek,argus greek,A man who you will always find on the look out.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: suspicious; strength: strong;  weakness: lateness;,e7f26b26-59d2-11ed-9b6a-0242ac120002,93627ae2598a133592296c811bc7ccdc68959255e3fa351c7287ef9fa52f455f
TEAM GRIT,78,amahle-of-zulu,amahle of zulu,A traditional man; feeling fulfilled.,Male,hair: bald; eyes: closed; teeth: none; clothing: ankara print; accessories: nose mask; expression: excited; strength: conversationist; weakness: traditionalist;,169f93a0-59d2-11ed-9b6a-0242ac120002,dfede0c468149a1f6ea276694d42c111776d7405daba930622129b204b8717b1
